"filename", "language", "C++", "CMake", "Dart", "JSON", "HTML", "YAML", "Swift", "Markdown", "XML", "Properties", "Gradle", "comment", "blank", "total"
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, -7, -17
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -22, -4, -29
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, -5, -12, -68
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -6, -2, -37
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, -5, -31
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, -6, -30
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\flutter_launcher_icons.yaml", "YAML", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, -1, -20
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -4, -13
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -2, -14
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, -1, -123
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -2, -5
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\ios\Runner\Runner-Bridging-Header.h", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\3-RECURSOS\Recursos programacion\flutter\my_portfolio\linux\CMakeLists.txt", "CMake", 0, -118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, -146
